approach;counting;period
Ecological Statistical Analysis;1;1957 - 1970
Faunal Affinity;1;1957 - 1970
Theoretical;1;1957 - 1970
None;7;1957 - 1970
Ecological Statistical Analysis;7;1971 - 1980
Faunal Affinity;6;1971 - 1980
Faunal Similarity;2;1971 - 1980
Combined;1;1971 - 1980
None;10;1971 - 1980
Theoretical;1;1971 - 1980
Ecological Statistical Analysis;2;1981 - 1990
Faunal Affinity;14;1981 - 1990
Faunal Similarity;1;1981 - 1990
Combined;2;1981 - 1990
None;11;1981 - 1990
Theoretical;2;1981 - 1990
Cladistic Biogeography;1;1991 - 2000
Ecological Statistical Analysis;3;1991 - 2000
Faunal Affinity;10;1991 - 2000
Faunal Similarity;8;1991 - 2000
Molecular Biogeography;7;1991 - 2000
Phylogenetic Biogeography;4;1991 - 2000
Phylogeography;2;1991 - 2000
Combined;10;1991 - 2000
None;21;1991 - 2000
Theoretical;2;1991 - 2000
Cladistic Biogeography;1;2001 - 2010
Ecological Statistical Analysis;16;2001 - 2010
Experimental Biogeography;1;2001 - 2010
Faunal Affinity;16;2001 - 2010
Faunal Similarity;13;2001 - 2010
Molecular Biogeography;7;2001 - 2010
Phylogenetic Biogeography;1;2001 - 2010
Phylogeography;18;2001 - 2010
Combined;25;2001 - 2010
None;20;2001 - 2010
Theoretical;6;2001 - 2010
Ecological Statistical Analysis;18;2011 - 2020
Experimental Biogeography;3;2011 - 2020
Faunal Affinity;12;2011 - 2020
Faunal Similarity;6;2011 - 2020
Molecular Biogeography;13;2011 - 2020
Phylogeography;41;2011 - 2020
Combined;22;2011 - 2020
None;17;2011 - 2020
Theoretical;3;2011 - 2020
